Organization Name,URL,Description,Phone Number,Address
"McKinney, TX 75069","www.starry.org","received.","817-336-2492","2740 Virginia Pkwy, Ste. 200"
"972-542-0020","www.sccenter.org","","214-887-6699","7989 Belt Line Rd., #120"
" ","www.theturningpoint.org","Organization Name Description Phone","214-634-2722","280 Legacy Dr. #106"
"4 ","www.coe.unt.edu/child-and-family-","","972-235-2316","2904 Floyd St., Suite B"
"Salvation Army","www.yapinc.org/whatwedo/adult","All Community Outreach","972-644-2076","6401 Independence Pkwy"
"www.salvationarmyusa.org ","www.brightertomorrows.net","","970-364-3497","undefined"
" ","www.dcfof.org","801 E. Main Street","972-943-3399","undefined"
"families, and the elderly.  ","www.genesisshelter.org","Allen, TX 75002","214-925-2722","undefined"
"Plano ","www.hopesdoorinc.org","Provider of free services for Collin County including financial","214-341-7133","undefined"
" ","www.hdnbc.org","assistance with household bills, utility and housing assistance,","972-699-9306","undefined"
"972-542-6694 ","www.familyplace.org","food, medical visits and prescriptions, and clothing.  Also offers","972-618-3450","undefined"
" ","www.planomasjid.org","GED classes, college assistance and financial coaching and","214-351-3490","undefined"
"Creek Parkway, McKinney ","www.tmwf.org/family-violence","career counseling.","866-695-3794","undefined"
" ","www.safehaventc.org","","972-424-4626","undefined"
" ","www.accesscounselinggroup.com","","972-633-6600","undefined"
"through Sundays.  Holiday hours may vary.","www.carrolltonsprings.com","Assistance Center of Collin County","972-271-4300","undefined"
"4637","www.ChangesPlano.com","","972-437-9950","undefined"
"North Texas Food Bank","www.Youth180tx.org","900 E. 18th Street","877-422-5939","undefined"
"Dallas, TX 75236","www.lifemanagementresources.com","Plano,  TX 75074","972-422-5939","undefined"
"Partner Agencies.  Serves 13 Counties including Collin.","www.greenoakspsych.com","","972-562-9647","undefined"
"214-269-0906 ","www.nexusrecovery.org","Serving qualifying low - income Individuals in the Plano","972-991-9504","undefined"
"Call Center","www.ubhdenton.com/contact-us","ISD Area","1-877-283-2121","undefined"
" ","www.galanorthtexas.org","-Financial Assistance to prevent homelessness","214-823-4434","undefined"
" ","www.legacycares.org","-Plano Food Pantry providing monthly visits","214-821-5393","undefined"
" ","www.dallasbehavioral.com","-Tools for School Provide free grade appropriate supplies","469-619-7622","undefined"
"McKinney","www.hickorytrail.com","-Information and Referral","469-609-7622","undefined"
"McKinney, TX 75069","www.glenoakshospital.com","-Holiday: Food and Gifts Christmas and Thanksgiving food.","214-768-6789","undefined"
"by any geographical scope.  ","www.twc.state.tx.us","","844-226-1789","undefined"
"972-547-4404","www.samhsa.gov","","469-617-7476","undefined"
"(in First Presbyterian Church Plano) ","www.txabusehotline.org","Assistance Hotline:","214-238-0801","undefined"
"plano.org/OutreachAndMissions.html","www.texasadvocacyproject.org","Office:","214-828-1000","undefined"
"County: 972-422-1125","www.rainn.org/get-help/national-","","214-824-7020","undefined"
"972-423-4292","www.volunteermatch.org/search/org1","Christian Community Action","1-877-847-9355","undefined"
"The Church of the Holy Nativity: ","www.sccenter.org","","1-800-886-7273","undefined"
"Food Pantry of Plano","www.aidsdallas.org","Lewisville, TX 75057","940-565-2066","undefined"
"food-p antry ","www.collincountyadultclinic.org","","214-821-6505","undefined"
"2200 18th St., Plano, TX 75074","www.healthntx.org","Providing Financial Assistance, education and vocational","972-262-8383","undefined"
"972-422-1850","www.pediplace.org","training, job search help, re-sale shops and an adult health","972-254-4003","undefined"
"Frisco Family Services","www.plannedparenthood.org","center for qualifying individuals living in their service area.","940-387-5131","undefined"
" 8780 3rd St., Frisco, TX 75034","www.prismhealthntx.org","Food pantry-drive through assistance","972-276-0057","undefined"
"and back to school clothing, shoes and supplies.  ","www.northtexas.va.gov/services/wome","","972-422-2911","undefined"
"972-335-9495","www.bbbstx.org","","972-276-0423","undefined"
"Hope Restored Missions ","www.co.collin.tx.us/veterans","","214-941-1991","undefined"
"Thestorehousecc.org ","www.friendsplaceads.com/richardson","(972) 219-4357","214-559-2170","undefined"
" ","www.johgriefsupport.org","Collin CARES","469-361-1467","undefined"
" ","www.legacyas.com","","972-491-5800","undefined"
" ","www.lanwt.org","https://www.collincountytx.gov/cares","972-880-4192","undefined"
"Blvd, Plano ","www.lifepathsystems.org/eci-","/Pages/rentalassistance2021.aspx","469-467-6241","undefined"
"5 ","www.upbring.org/programs-and-","Collin County Emergency Rental Assistance Program. Provides","817-548-0583","undefined"
"received. ","www.texasadvocacyproject.org","residential rent and utility assistance to qualifying household","817-536-5496","undefined"
"Adult Shelters Description Phone  ","www.hhsc.state.tx.us","located in Collin County and outside the city limits of Allen,","972-423-8727","undefined"
"Austin Street Shelter","www.texaslawhelp.org","Frisco, Dallas, McKinney and Plano.  Must provide proof of","972-905-6574","undefined"
"residents.","undefined","ongoing financial hardship due to COVID 19.","972-544-7980","undefined"
"Men: 45 and older   Women: 18 and older","undefined","(833) 696-0804","972-212-5487","undefined"
"Dallas","undefined","","214-942-5166","undefined"
"basics/ ","undefined","Email:","972-566-4680","undefined"
" ","undefined","ERAPquestions@ndc","972-985-7565","undefined"
"life skills, life coaching and mentoring.","undefined","online.org","972-985-1599","undefined"
"972-358-4732 ","undefined","","214-321-0156","undefined"
"ach.org ","undefined","Community Council of Greater","940-320-8100","undefined"
"Dallas Life Foundation","undefined","Dallas","1-  888-320-8101","undefined"
"Men & Women","undefined","","1-877-847-9355","undefined"
"100 Cadiz St., Dallas, TX 75215","undefined","1341 W. Mockingbird Ln. Suite 1000W","214-941-7373","undefined"
"Program.","undefined","Dallas, TX 75247","214-540-4471","undefined"
"Dallas","undefined","","972-212-5487","undefined"
"214-421-1380","undefined","Provides access to community services including MY RIDE for","972-982-0900","undefined"
"Carrollton, TX 75007","undefined","senior citizens, low-cost health coverage for children and","972-547-8000","undefined"
"reconnection.","undefined","teens, and multiple community youth development programs","972-298-7323","undefined"
"evatentx.org ","undefined","living in greater Dallas.","214-456-8899","undefined"
"Family Gateway","undefined","","214-456-5900","undefined"
"711 S St. Paul St., Dallas, TX 75201","undefined","","1-800-443-1109","undefined"
"financial literacy classes and education.","undefined","Community Lifeline Center","903-454-6000","undefined"
" ","undefined","","972-702-0761","undefined"
" ","undefined","1601 N. Waddill St. Suite 102","817-759-7967","undefined"
" ","undefined","McKinney, TX 75069","1-  888-617-7171","undefined"
"Family Promise of Collin County","undefined","","469-241-9100","undefined"
"972-442-6966 ","undefined","Assistance ranges from financial help – rent, utilities, food,","469-229-0099","undefined"
"6 ","undefined","other crisis assistance, job search training, credit and budget","972-542-3381","undefined"
"Salvation Army","undefined","counseling, and referral services.  Service area includes the","1-  800-939-6631","undefined"
"Housing assistance Dallas location only. ","undefined","cities of Altoga, Anna, Blue Ridge, Celina, Copeville,","972-380-8001","undefined"
" ","undefined","Farmersville, Josephine, Lavon, Lowery Crossing, McKinney,","214-291-8082 or email","undefined"
" ","undefined","Melissa, Nevada, New Hope, Princeton, Prosper, Westminster,","800-799-4889","undefined"
"Samaritan Inn","undefined","and Weston.","800-662-4357","undefined"
"service job training. ","undefined","","877-422-5939","undefined"
"McKinney","undefined","","1-866-260-8000","undefined"
"972-542-5302 ","undefined","4","1-800-252-5400","undefined"
" ","undefined","","1-800-777-3247","undefined"
"Union Gospel Mission","undefined","Salvation Army","1-  877-899-8709","undefined"
"clothing to homeless men and women (18 +)","undefined","","1-800-799-7233 (HELP)","undefined"
"and their children in Dallas County. ","undefined","","1-800-787-3224 (TTY)","undefined"
"Men’s Shelter","undefined","","1-800-866-7273","undefined"
"214-637-6117 ","undefined","Faith-based organization that provides rehabilitation, hunger","Text: 512-872-5777","undefined"
"214-638-2988 ","undefined","relief, and housing services for veterans, adults, children,","Call: 1-  800-989-6884","undefined"
" ","undefined","families, and the elderly.","214-358-5173","undefined"
" ","undefined","","214-828-1000 or","undefined"
" ","undefined","Plano","800-273-8255","undefined"
" ","undefined","","214-941-0523","undefined"
"Youth Only Shelters ","undefined","","972-423-4941 – info","undefined"
" ","undefined","","972-423-4891 –","undefined"
"Description  ","undefined","","972-548-5500","undefined"
"Phone","undefined","McKinney Emergency Overnight","972-633-3350","undefined"
"ACH – Child and Family Services ","undefined","Warming Shelter","972-461-0813","undefined"
" ","undefined","Location: Salvation Army, 600 Wilson","972-547-0606","undefined"
"HELP@ACHSERVICES.ORG","undefined","Creek Parkway, McKinney","1-800-886-7273","undefined"
" ","undefined","","214-618-5600","undefined"
"3712 Wichita Street, Ft. Worth, TX 76119","undefined","","1-800-974-2437","undefined"
" ","undefined","","972-548-5526","undefined"
"Youth Services","undefined","Opens at 7 pm – Monday – Thursday and 6 pm on Fridays","469-712-4246","undefined"
"909-1171.","undefined","through Sundays.  Holiday hours may vary.","972-562-4673","undefined"
" ","undefined","","972-436-7962","undefined"
"(4673)","undefined","For more information","214-420-8008","undefined"
" ","undefined","call or text: 214 -945-","214-521-5191","undefined"
"Toll Free:","undefined","4637","214-238-9389","undefined"
"888-296-8099","undefined","","972-440-0167","undefined"
"CITY House Homeless Children","undefined","North Texas Food Bank","call 972-517-2171","undefined"
"www.cityhous  e.  or  g ","undefined","","1-800-849-3597","undefined"
"Living Program in both Plano and Frisco. ","undefined","4500 S. Cockrell Hill Rd.","972-801-9689","undefined"
" ","undefined","Dallas, TX 75236","214-441-2227","undefined"
" ","undefined","","972-881-3060","undefined"
"972-424-4626 ","undefined","Taking applications for Food Stamps; Medicaid. Food Pantry","866-837-1999","undefined"
"972-971-0278 ","undefined","Referrals. Community Kitchen produces meals for North Texas","972-274-2484","undefined"
" ","undefined","Partner Agencies.  Serves 13 Counties including Collin.","972-437-2940","undefined"
"Letot – Dallas County Juvenile Facility","undefined","","972-292-5108","undefined"
" ","undefined","","1-800-550-1961","undefined"
"runaway youth in Dallas county.","undefined","Call Center","1-877-633-8747","undefined"
"Dallas","undefined","","469-248-7903","undefined"
"214-357-0391 ","undefined","","972-964-1600","undefined"
" ","undefined","","817-784-7579","undefined"
"7 ","undefined","","972-542-9405","undefined"
"Promise House","undefined","Community Food Pantry of","1-800-955-1407","undefined"
"224 W. Page Ave., Dallas, TX 75208","undefined","McKinney","972-377-7289","undefined"
"Dallas","undefined","","972-562-0331","undefined"
"214-941-8578","undefined","McKinney, TX 75069","972-359-1110","undefined"
" ","undefined","","972-722-7016","undefined"
"Transitional Living Programs ","undefined","Program provides basic foods to people and families that have","972-620-0581","undefined"
"Description ","undefined","lost their jobs, lost income due to illness, or who have had an","972-542-2623","undefined"
" AGAPE Resource & Assistance Center ","undefined","addition to their family and cannot make ends meet. Filling","972-578-8100","undefined"
" ","undefined","gap between Food Stamp applications and award. Not bound","1-800-448-3927","undefined"
"www.hope4agape.org ","undefined","by any geographical scope.","undefined","undefined"
"www.bellahouse.org ","undefined","","undefined","undefined"
"graduates from the program.","undefined","","undefined","undefined"
"469-249-2656","undefined","Clothes Closet of Plano","undefined","undefined"
"CITY House -Transitional Living Program ","undefined","(in First Presbyterian Church Plano)","undefined","undefined"
"www.cityhouse.org/","undefined","","undefined","undefined"
"Youth 18 –   21 ys. ","undefined","http://www.fpc-","undefined","undefined"
" ","undefined","plano.org/OutreachAndMissions.html","undefined","undefined"
"Emily’s Place","undefined","","undefined","undefined"
"www.emilysplacetx.org ","undefined","Provides gently used causal business clothing to the","undefined","undefined"
" ","undefined","community.","undefined","undefined"
"years. ","undefined","Clients are referred through Assistance Center of Collin","undefined","undefined"
"Plano","undefined","","undefined","undefined"
"972-424-7775","undefined","","undefined","undefined"
" ","undefined","The Church of the Holy Nativity:","undefined","undefined"
"8 ","undefined","","undefined","undefined"
"www.materfiliusdallas.org ","undefined","Food Pantry of Plano","undefined","undefined"
" ","undefined","","undefined","undefined"
"socioeconomic status,or religious beliefs. ","undefined","food-p antry","undefined","undefined"
"allas.org","undefined","","undefined","undefined"
"Our Friend’s Place","undefined","2200 18th St., Plano, TX 75074","undefined","undefined"
"www.ourfriendsplace.org ","undefined","","undefined","undefined"
"Dallas, TX 75219","undefined","Anyone living in the Plano Independent School District","undefined","undefined"
"Dallas","undefined","may apply to receive food to feed a family for one week.","undefined","undefined"
"Shared Housing","undefined","Clients are referred through Assistance Center of Collin","undefined","undefined"
"www.sharedhousing.org ","undefined","","undefined","undefined"
"Dallas, Texas 75204","undefined","Frisco Family Services","undefined","undefined"
"Dallas","undefined","","undefined","undefined"
"214-821-8510","undefined","8780 3rd St., Frisco, TX 75034","undefined","undefined"
"Shiloh Place","undefined","","undefined","undefined"
" ","undefined","Provides families and individuals living in Frisco or within","undefined","undefined"
"McKinney","undefined","the Frisco ISD limits with one time only emergency","undefined","undefined"
"469-534-9407","undefined","financial assistance, food, vouchers for clothing and","undefined","undefined"
" ","undefined","household goods at Frisco Resale, adult life skills classes,","undefined","undefined"
" ","undefined","and back to school clothing, shoes and supplies.","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Hope Restored Missions","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","https://hoperestoredmissions.org","undefined","undefined"
" ","undefined","1947 K Ave., Ste. 300","undefined","undefined"
" ","undefined","Plano, TX 75074","undefined","undefined"
" ","undefined","Provides case management, housing referrals, job","undefined","undefined"
" ","undefined","placement/training, computer lab, emergency food","undefined","undefined"
" ","undefined","referrals and food stamp program resources. Also","undefined","undefined"
"9 ","undefined","provides medical care & dental care resources along with","undefined","undefined"
"Support Groups ","undefined","emotional support and education assistance for GED and","undefined","undefined"
"received. ","undefined","ESL.","undefined","undefined"
"Phone ","undefined","Mon.-Fri.","undefined","undefined"
"Al-Anon Family Groups","undefined","10 am-4 pm","undefined","undefined"
"Dallas","undefined","By Appointment","undefined","undefined"
"214-363-0461 ","undefined","The Storehouse of Collin County","undefined","undefined"
"Alcohol Anonymous","undefined","Seven Loaves-Food Pantry","undefined","undefined"
"www.aadallas.org","undefined","Joseph’s Coat-Clothing  Closet","undefined","undefined"
"meetings/texas/   ","undefined","Project Hope-Mentorship for women","undefined","undefined"
" ","undefined","Thestorehousecc.org","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"Dallas","undefined","","undefined","undefined"
"214-887-6699","undefined","","undefined","undefined"
"Association of Persons Affected by","undefined","Provides food and clothing to residents of Collin County.","undefined","undefined"
"Addiction (APAA) ","undefined","Must show proof of residency.  Project Hope provides","undefined","undefined"
"https://apaarecovery.org ","undefined","mentorship, training, education and hope to women (18","undefined","undefined"
"benefits.","undefined","yrs.+) who are in negative cycles of poverty and","undefined","undefined"
"Dallas","undefined","dependence.","undefined","undefined"
"214-634-2722","undefined","Blvd, Plano","undefined","undefined"
"Because I Love You (BILY)","undefined","","undefined","undefined"
"271 N Walton St, Richardson, TX","undefined","5","undefined","undefined"
"Richardson","undefined","","undefined","undefined"
"972-235-2316","undefined","Homeless Shelters","undefined","undefined"
"Dallas County Asperger’s Self-","undefined","*The following resources are available in the community. Collin College's Counseling Services does not endorse any","undefined","undefined"
"www.atcoftexas.org","undefined","particular resource. It is the individual's responsibility to research and make choices based upon information","undefined","undefined"
"10503 Metric Dr., Dallas, TX 75243","undefined","received.","undefined","undefined"
"and research. ","undefined","","undefined","undefined"
"Dallas","undefined","Adult Shelters Description Phone","undefined","undefined"
"972-644-2076 ","undefined","","undefined","undefined"
" ","undefined","Austin Street Shelter","undefined","undefined"
"10 ","undefined","","undefined","undefined"
"Computer Gaming Addicts Anonymous","undefined","Emergency shelter and a transitional living","undefined","undefined"
"http://cgaa.info/online-meetings/ ","undefined","facility for those with employment.","undefined","undefined"
"http://springcreekclub.org","undefined","Substance abuse and psychological","undefined","undefined"
"150, Plano, TX ","undefined","counseling are available. Services are","undefined","undefined"
"for compulsive video gamers.  ","undefined","provided at no cost to Dallas county","undefined","undefined"
"970-364-3497 ","undefined","residents.","undefined","undefined"
"Plano","undefined","","undefined","undefined"
"972-943-3399 ","undefined","Men: 45 and older   Women: 18 and older","undefined","undefined"
"plano@ccgaa.info","undefined","","undefined","undefined"
" ","undefined","Dallas","undefined","undefined"
"National Autism Assoc. of North Texas","undefined","","undefined","undefined"
"Naa-nt.org","undefined","Blake’s House – Women","undefined","undefined"
"Plano","undefined","His House –   Men","undefined","undefined"
"214-925-2722","undefined","https://jimrileyoutreach.org/program-","undefined","undefined"
"NAMI Collin County","undefined","basics/","undefined","undefined"
"https://www.naminorthtexas.org/ ","undefined","","undefined","undefined"
"214-341-7133","undefined","","undefined","undefined"
"Narcotics Anonymous","undefined","Provides housing for homeless women","undefined","undefined"
"972-699-9306","undefined","(Blake’s House) and men (His House) 18-25.","undefined","undefined"
"area.","undefined","Program centers around the development of","undefined","undefined"
"St. Andrew’s United Methodist Church","undefined","life skills, life coaching and mentoring.","undefined","undefined"
"Plano, TX 75093  ","undefined","","undefined","undefined"
"www.standrewumc.org ","undefined","","undefined","undefined"
" ","undefined","info@jimrileyoutre","undefined","undefined"
" ","undefined","ach.org","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Dallas Life Foundation","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Men & Women","undefined","undefined"
" ","undefined","","undefined","undefined"
"Disease (AD) or related dementia.","undefined","","undefined","undefined"
"behaviors.","undefined","Faith Based Program. Shelter and meals are","undefined","undefined"
"214.291.8011 ","undefined","served daily.  Clothing is provided for daily","undefined","undefined"
" ","undefined","living, job interviews, as well as for children.","undefined","undefined"
"#268","undefined","Fee of $12 daily or sign up for a 10 month","undefined","undefined"
" ","undefined","program which is free. Outside jobs","undefined","undefined"
" ","undefined","encouraged after three months and housing","undefined","undefined"
" ","undefined","assistance with completion of the 10 month","undefined","undefined"
" ","undefined","Program.","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Dallas","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"11 ","undefined","Elevate North Texas Youth Shelter","undefined","undefined"
"Counseling Services ","undefined","1901 E. Peters Colony Rd.","undefined","undefined"
"received. ","undefined","Carrollton, TX 75007","undefined","undefined"
"Child & Family Guidance ","undefined","","undefined","undefined"
"  https://www.childrenandfamilies.org ","undefined","Provides emergency shelter for youth 18 –","undefined","undefined"
" ","undefined","24. Programs include Host Homes or Hotel","undefined","undefined"
"  Dallas, TX  75235 ","undefined","Vouchers and offers Reunification and family","undefined","undefined"
"Call Center","undefined","reconnection.","undefined","undefined"
"214-351-3490","undefined","","undefined","undefined"
"866-695-3794 ","undefined","Email:JasonV@el","undefined","undefined"
"CITY House","undefined","evatentx.org","undefined","undefined"
"  www.cityhouse.org ","undefined","","undefined","undefined"
"going through transition housing 13-18 yrs. ","undefined","Family Gateway","undefined","undefined"
"972-424-4626","undefined","","undefined","undefined"
" Collin County Children’s Advocacy","undefined","711 S St. Paul St., Dallas, TX 75201","undefined","undefined"
" ","undefined","","undefined","undefined"
"  http://www.caccollincounty.org/ ","undefined","Shelter works with Partner Agencies in the","undefined","undefined"
"  2205 Los Rios Blvd., Plano, TX 75074","undefined","Dallas community to deliver services","undefined","undefined"
"972-633-6600","undefined","including mental and physical health care;","undefined","undefined"
"The Counseling Institute of Texas","undefined","employment readiness and job training;","undefined","undefined"
"  www.citexas.wordpress.com ","undefined","financial literacy classes and education.","undefined","undefined"
"Garland","undefined","","undefined","undefined"
"Jewish Family Services","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"  www.jfsdallas.org ","undefined","","undefined","undefined"
"972-437-9950","undefined","Family Promise of Collin County","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Sustainable Independence Program","undefined","undefined"
" ","undefined","(SIP)","undefined","undefined"
" ","undefined","Provides food, shelter and support services","undefined","undefined"
" ","undefined","for Collin County families with children as","undefined","undefined"
" ","undefined","they regain sustainable independence. All","undefined","undefined"
" ","undefined","services are provided based on demonstrated","undefined","undefined"
" ","undefined","need.","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","6","undefined","undefined"
" ","undefined","","undefined","undefined"
"12 ","undefined","Salvation Army","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Group homes, emergency shelters, and","undefined","undefined"
" ","undefined","transitional living centers provide housing,","undefined","undefined"
" ","undefined","food, and overnight lodging. Rental and","undefined","undefined"
" ","undefined","utility assistance offered. Also provides","undefined","undefined"
" ","undefined","educational, counseling and vocational","undefined","undefined"
" ","undefined","services to homeless individuals and families.","undefined","undefined"
" ","undefined","Housing assistance Dallas location only.","undefined","undefined"
"Life Path Systems","undefined","","undefined","undefined"
"www.lifepathsystems.org ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Samaritan Inn","undefined","undefined"
"7308 Alma Dr., Plano, TX 75025 ","undefined","","undefined","undefined"
"877-422-5939 ","undefined","Homeless shelter for individuals and families","undefined","undefined"
" ","undefined","who live in Collin County; limited overnight","undefined","undefined"
"Plano","undefined","emergency shelter. Also","undefined","undefined"
"972-422-5939","undefined","provides classes in a","undefined","undefined"
" ","undefined","variety of life skills: parenting, budgeting, job","undefined","undefined"
" ","undefined","training, computer skills, and customer","undefined","undefined"
"McKinney","undefined","service job training.","undefined","undefined"
"972-562-9647 ","undefined","","undefined","undefined"
"Medical City Green Oaks Hospital","undefined","McKinney","undefined","undefined"
"  www.medicalcitygreenoaks.com ","undefined","","undefined","undefined"
" Los Colinas ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"   ","undefined","Union Gospel Mission","undefined","undefined"
"Metrocare Services","undefined","","undefined","undefined"
"  www.metrocareservices.org ","undefined","The Union Gospel Mission is a faith-based","undefined","undefined"
"1-877-283-2121","undefined","homeless shelter providing food, beds, and","undefined","undefined"
"Mosaic Family Services","undefined","clothing to homeless men and women (18 +)","undefined","undefined"
"  home@mosaicservices.org ","undefined","","undefined","undefined"
" ","undefined","and their children in Dallas County.","undefined","undefined"
" Dallas, TX ","undefined","","undefined","undefined"
"community education. ","undefined","Men’s Shelter","undefined","undefined"
" ","undefined","","undefined","undefined"
"24 HR Crisis","undefined","","undefined","undefined"
"214-823-4434 ","undefined","Women’s  &","undefined","undefined"
"214-821-5393","undefined","Children’s","undefined","undefined"
" ","undefined","Center","undefined","undefined"
"Richland Oaks Counseling Center","undefined","","undefined","undefined"
"  Richardson, TX 75081 ","undefined","","undefined","undefined"
"  McKinney, TX 75070","undefined","","undefined","undefined"
"evaluation also provided. ","undefined","","undefined","undefined"
"Urdu, Punjabi, Hindu, and Korean.","undefined","","undefined","undefined"
"469-619-7622 ","undefined","Youth Only Shelters","undefined","undefined"
"469-609-7622 ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Description","undefined","undefined"
"13 ","undefined","","undefined","undefined"
" 214-768-6789 ","undefined","Phone","undefined","undefined"
"$5  ","undefined","","undefined","undefined"
"STARRY Counseling","undefined","ACH – Child and Family Services","undefined","undefined"
"  www.starry.org ","undefined","","undefined","undefined"
"  info.mckinney@starry.org","undefined","","undefined","undefined"
" ","undefined","HELP@ACHSERVICES.ORG","undefined","undefined"
"  4501 Medical Center Drive, Ste. 300","undefined","","undefined","undefined"
"  McKinney, TX 75069","undefined","","undefined","undefined"
"foster care by CPS.  ","undefined","","undefined","undefined"
"24/7 ","undefined","","undefined","undefined"
"469-617-7476 ","undefined","Note: Absorbed The Bridge Emergency","undefined","undefined"
"214-238-0801 ","undefined","Youth Services","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Adoption, Foster Care & Turning Point for","undefined","undefined"
" ","undefined","persons in CPS Region 3 (includes Collin).","undefined","undefined"
