Collin County,,,,
Right Step,"Euless & Benbrook, TX (Tarrant County)","ADULTS, detox, 30-day inpatient, women and teens residential programs, intensive outpatient, individual, group, & family counseling, addiction education, aftercare",Private insurance accepted. Call for verification.," 2219 W Euless Blvd, Euless, Tx, 76040    (844) 768-1079       www.rightstep.com"
,,,,
Salvation Army Addiction Recovery Program,"Ft. Worth, TX (Tarrant County)","ADULTS, housing, medical care, work therapy, counseling",Call for info,"2901 NE 28th Street
(817) 834-6271 www.salvationarmydfw.org/p/services/addiction_recovery"
,,,,
Salvation Army Ft. Worth (First Choice Program),"Ft. Worth, TX (Tarrant County) ","WOMEN WITH CHEMICAL DEPENDENCY & THEIR CHILDREN, 12-month residential treatment program; transportation, off-site day care, group therapy, 12-step meetings, life skills, parenting, counseling",Call for info,"1855 E. Lancaster Ave.
 (817) 344-1800 www.salvationarmydfw.org/p/locations/fort_worth/mabee_center"
,,,,
Salvation Army Ft. Worth (Simon Transitional Housing Program),"Ft. Worth, TX (Tarrant County) ","ADULTS 18+ WITH DUAL-DIAGNOSIS OF MENTAL ILLNESS & ADDICTION, housing, case management, life skills, counseling",Call for info,"1855 E. Lancaster Ave.
 (817) 344-1800 www.salvationarmydfw.org/p/locations/fort_worth/mabee_center"
,,,,
,,,,
Pages 1 through 4 completed ,,,,
