Individuals,,,,
Texoma Family Shelter: Home," Denison, TX (Grayson County)","ADULTS & FAMILIES, Men over 45, single women over 23, married couples & families, minimum 21-day stay, case management ",I.D. & background check required: Open 24 hours,331 W. Morton         (903) 465-6041 https://texomafamilyshelter.com
,,,,
Hiway 80 Rescue Mission," Longview,  TX (Gregg County)","MEN, WOMEN, & CHILDREN, 175+ beds, faith-based service, various other services such as 10-month men new creation program, free clinic, and women & family shelter",Can not be under the influence of drugs or alcohol,Women & Family Shelter (903) 234 - 2583         Men Shelter              (903) 759 - 8101  http://hiway80rm.org/
,,,,
Presbyterian Night Shelter,"Fort Worth, TX (Tarrant County)","Single Men and Women, veteran services, mental health & substance abuse services, job training & placement program,  ",Bring any identifying documents. Call (817) 632-7429 for prescreen. Overnight intakes Mon-Fri: Mens shelter: 2:30pm. Womens shelter: 2:00pm,2400 Cypress             (817) 632-7400 www.journeyhome.org/
,,,,
Salvation Army                       Fort Worth,"Fort Worth, TX (Tarrant County)","ADULTS & FAMILIES, case management, substance abuse treatment programs,","Open daily, call for info","1855 E. Lancaster Ave.
(817) 344-1800 www.salvationarmydfw.org"
,,,,
,,,,
,,,,
Families Only,,,,
,,,,
,,,,
Family Promise,"Allen, TX (Various church locations)","FAMILIES, INCLUDING SINGLE-PARENT FAMILIES, 24-hour temporary shelter, meals, transportation, case management and support services.",Call or email  supportservices@familypromiseofcollincounty.org ,(972) 442-6966 www.familypromiseofcollincounty.org                                  Can try #211 hotline too. Irving location: 972-313-1500
,,,,
,,,,
Women Only,,,,
,,,,
Union Gospel Mission - Center of Hope,"Dallas, TX","
WOMEN & Children 0-14, faith based, shelter, medical clinic,  meals, life skills, on site childcare ",,"Women intake
4815 Cass Street
 Dallas, Texas 75235
(214) 638-2988

www.ugmdallas.org"
,,,,
Men Only,,,,
,,,,
Union Gospel Mission - Calvert Place,"Dallas, TX","MEN, faith based, health clinic, veterans program, life skills, job training, counseling, Bible study
 ","Men Intakes daily                                   3:00-5:00 PM

I.D. required 
","Intake at The Bridge
 1818 Corsicana St.
     (214) 637-6117  

www.ugmdallas.org"
,,,,
Children Only,,,,
,,,,
Promise House,"Dallas, TX","YOUTH 6-18, case management, short-term therapy, psychiatric assessment & treatment, counseling, medical & dental",Call 24/7 for intake,224 W. Page Ave.     (214) 941-8578  www.promisehouse.org
,,,,
Letot Center at Dallas County Juvenile Facility,"Dallas, TX","YOUTH 10-17 WITH BEHAVIORAL ISSUES, coed, crisis intervention, emergency shelter, programing, and counseling for runaway youth. *Must reside in Dallas County*",24/7 Intakes                                  Office hours:                                8:00 AM - 5:00 PM                    After hours: (214) 956-2005         *Child must be brought in by a parent/guardian or arresting officer*,10505 Denton Dr.    (214) 357-0391  https://www.dallascounty.org/departments/juvenile/letot.php
,,,,
Cumberland Presbyterian Children's Home,"Denton, TX","YOUTH 5-17, RHY & CPS youth with basic, moderate, specialized, and intense levels of care, shelter for up to 90-days, siblings cottage, medical & dental, case management, life skills, long-term residential programs dependent on needs ",Intake:                                           (940) 382-5112 ext: 252,909 Greenlee            (940) 382-5112  www.cpch.org/cumberlandservices.org
,,,,
Bryan's House,"Dallas, TX","CHILDREN 0-12 WITH MEDICAL OR DEVELOPMENTAL NEEDS, *NOT an emergency shelter, weekend respite care only*, *Respite offered 2 Sat's per month.  Special needs early childhood education program, summer program, case management, parent support groups. ",Must apply and qualify for services based on medical need and insurance.                                              Call (214) 559-3946 and speak to case manager to complete phone screen ,3610 Pipestone Rd.  (214) 559-3946 www.bryanshouse.org
,,,,
ACH Child and Family Services,"Fort Worth, TX (Tarrant County)","YOUTH 10-17, emergency shelter & weekend respite, case management, outreach, educational services",Available 24/7                               (817) 335-4673,3712 Wichita St.       (888) 296-8099  www.achservices.org
,,,,
,,,,
North Texas Youth Connection,"Sherman, TX (Grayson County)","YOUTH 10-17, RHY & CPS youth, shelter up to 90 days, case management, medical services, educational services, life skills,   ",Call for info,"1602 E. Lamar St.
(903) 893-4717 www.ntxyouthconnection.org"
,,,,
Ex-Offender Shelters,,,,
Cornerstone Baptist Church,"dallas, Tx",male exoffenders- Philemon's House    female offenders-Martha's House,214-426-5468,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
